n_points,outlier_count,outlier_ratio,raw_total_variation,fitted_total_variation,raw_max_adjacent_jump,fitted_max_adjacent_jump,raw_roughness,fitted_roughness,high_confidence_mae,peak_retention,overshoot,model,source_file,experiment_id,target,method,runtime_seconds
7402,64,0.008646311807619562,1760.0,751.9924963925005,20.0,8.510822510822509,8.777027027027026,0.2072938999155447,0.0011079817606021378,0.9975123726688178,False,advancedV2_cnn_bilstm,VTEST_S30.csv,VTEST_S30,stress,hampel+savgol,32.21479769994039
7402,58,0.007835720075655228,7000.0,3661.8989898989976,80.0,69.54112554112554,148.75675675675674,6.174515938325459,0.10611385587629901,0.9864924037631455,False,advancedV2_cnn_bilstm,VTEST_S30_1.csv,VTEST_S30,damage,hampel+savgol,32.21479769994039
7402,30,0.00405295865982167,1240.0,706.1096681096748,20.0,8.69264069264069,6.608108108108108,0.2584763703378413,0.005772919931938698,0.9986679007436657,False,advancedV2_cnn_bilstm,VTEST_S30_1.csv,VTEST_S30,stress,hampel+savgol,32.21479769994039
7402,42,0.005674142123750338,3280.0,1548.2597402597403,80.0,32.346320346320326,55.75675675675676,0.9626479371933894,0.0011507875702482194,0.9878719187632081,False,advancedV2_cnn_bilstm,VTEST_S40.csv,VTEST_S40,damage,hampel+savgol,32.21479769994039
7402,17,0.0022966765738989463,430.0,191.10822510822857,10.0,8.51082251082251,1.5135135135135136,0.13679347250775797,0.0010684395466601462,0.9998698101182567,False,advancedV2_cnn_bilstm,VTEST_S40.csv,VTEST_S40,stress,hampel+savgol,32.21479769994039
7402,67,0.00905160767360173,4640.0,2862.360750360751,60.0,24.259740259740244,52.75675675675676,1.557575341125121,0.0010794341871954642,0.986600514033198,False,advancedV2_cnn_bilstm,VTEST_S40_1.csv,VTEST_S40,damage,hampel+savgol,32.21479769994039
7402,37,0.0049986490137800595,930.0,454.2135642135704,10.0,8.69264069264069,3.4054054054054053,0.22111270544170925,0.006923928058766116,0.999698902965102,False,advancedV2_cnn_bilstm,VTEST_S40_1.csv,VTEST_S40,stress,hampel+savgol,32.21479769994039
7403,1,0.00013508037282182898,480.0,506.18181818181887,40.0,17.021645021645014,3.56708552898257,0.29384578395680716,0.0035604254117279797,0.9991273789017024,False,advancedV2_cnn_bilstm,VTEST_SXX_BH02.csv,VTEST_SXX_BH02,damage,hampel+savgol,32.21479769994039
7403,0,0.0,160.0,168.34632034632057,20.0,17.021645021645018,0.8647480070260776,0.14769379324888657,2.9219587464489703e-15,0.9999901156634892,False,advancedV2_cnn_bilstm,VTEST_SXX_BH02.csv,VTEST_SXX_BH02,stress,hampel+savgol,32.21479769994039
7403,1,0.00013508037282182898,480.0,506.18181818181887,40.0,17.021645021645014,3.56708552898257,0.29384578395680716,0.0035604254117279797,0.9991273789017024,False,advancedV2_cnn_bilstm,VTEST_SXX_BH02_v2.csv,VTEST_SXX_BH02_v2,damage,hampel+savgol,32.21479769994039
7403,0,0.0,160.0,168.34632034632057,20.0,17.021645021645018,0.8647480070260776,0.14769379324888657,2.9219587464489703e-15,0.9999901156634892,False,advancedV2_cnn_bilstm,VTEST_SXX_BH02_v2.csv,VTEST_SXX_BH02_v2,stress,hampel+savgol,32.21479769994039
7302,7,0.000958641468090934,1560.0,1586.1587301587324,80.0,68.08658008658008,12.712328767123287,4.83919709344841,0.03181677353262817,0.9998405893690219,False,advancedV3_physics_fusion,VTEST_S00.csv,VTEST_S00,damage,hampel+savgol,32.21479769994039
7302,25,0.003423719528896193,1040.0,731.7344877344876,20.0,12.55411255411256,3.684931506849315,0.662497416793805,0.028419639404660236,0.9799487291107399,False,advancedV3_physics_fusion,VTEST_S00.csv,VTEST_S00,stress,hampel+savgol,32.21479769994039
7302,5,0.0006847439057792385,2080.0,2174.1125541125557,80.0,50.21645021645024,19.753424657534246,4.456935327812392,0.02143198283437644,0.9997826287187987,False,advancedV3_physics_fusion,VTEST_S00_1.csv,VTEST_S00,damage,hampel+savgol,32.21479769994039
7302,8,0.0010955902492467817,740.0,639.823953823954,20.0,17.02164502164502,3.1575342465753424,0.8201631841838213,0.013046190434418965,0.9867619579601143,False,advancedV3_physics_fusion,VTEST_S00_1.csv,VTEST_S00,stress,hampel+savgol,32.21479769994039
7302,19,0.0026020268419611066,3660.0,2091.145743145747,80.0,68.08658008658008,81.64383561643835,10.720466091548339,0.11019734556989734,0.9947876398658829,False,advancedV3_physics_fusion,VTEST_S10.csv,VTEST_S10,damage,hampel+savgol,32.21479769994039
7302,14,0.001917282936181868,500.0,241.47186147186184,20.0,12.917748917748929,2.904109589041096,0.27235873046108533,0.003490691240654412,1.0012761840108306,False,advancedV3_physics_fusion,VTEST_S10.csv,VTEST_S10,stress,hampel+savgol,32.21479769994039
7302,55,0.0075321829635716245,7280.0,3741.5468975469053,80.0,68.08658008658008,172.0,26.90233335521124,0.30596390616184144,0.9902626194879712,False,advancedV3_physics_fusion,VTEST_S10_1.csv,VTEST_S10,damage,hampel+savgol,32.21479769994039
7302,34,0.0046562585592988225,1280.0,549.0101010101031,20.0,17.02164502164502,8.63013698630137,0.5811777628939462,0.0347191430813435,0.9977703981660195,False,advancedV3_physics_fusion,VTEST_S10_1.csv,VTEST_S10,stress,hampel+savgol,32.21479769994039
7307,6,0.0008211304228821678,680.0,483.0245310245317,40.0,34.043290043290035,4.7091033538672145,1.2060830644650644,0.018072427597688564,0.9994942810028281,False,advancedV3_physics_fusion,VTEST_S10_BH01.csv,VTEST_S10_BH01,damage,hampel+savgol,32.21479769994039
7307,0,0.0,40.0,45.454545454546384,20.0,17.02164502164502,0.16427104722792607,0.11724263007763908,0.0008141916226356217,0.9999952980254893,False,advancedV3_physics_fusion,VTEST_S10_BH01.csv,VTEST_S10_BH01,stress,hampel+savgol,32.21479769994039
7302,46,0.006299643933168995,7520.0,3637.656565656568,80.0,68.08658008658008,182.27397260273972,25.911759703877358,0.277269235582618,0.9886871922643412,False,advancedV3_physics_fusion,VTEST_S20.csv,VTEST_S20,damage,hampel+savgol,32.21479769994039
7302,41,0.005614900027389756,1520.0,1033.292929292933,20.0,17.385281385281385,6.191780821917808,1.3439608049214875,0.03326209363584241,0.9946838678181958,False,advancedV3_physics_fusion,VTEST_S20.csv,VTEST_S20,stress,hampel+savgol,32.21479769994039
